"GeneID","Symbol"
"gene-LOC121470544|LOC121470544","LOC121470544"
"gene-CLINT1|CLINT1","CLINT1"
"gene-GLMP|GLMP","GLMP"
"gene-CDC73|CDC73","CDC73"
"gene-STARD8|STARD8","STARD8"
"gene-KCNQ5|KCNQ5","KCNQ5"
"gene-MAPKBP1|MAPKBP1","MAPKBP1"
"gene-SETD3|SETD3","SETD3"
"gene-GPD1L|GPD1L","GPD1L"
"gene-MFSD6|MFSD6","MFSD6"
"gene-IPO5|IPO5","IPO5"
"gene-COMTD1|COMTD1","COMTD1"
"gene-FAM120B|FAM120B","FAM120B"
"gene-ASRGL1|ASRGL1","ASRGL1"
"gene-XRCC2|XRCC2","XRCC2"
"gene-LOC115490725|LOC115490725","LOC115490725"
"gene-CREB3|CREB3","CREB3"
"gene-TBC1D24|TBC1D24","TBC1D24"
"gene-MAP3K3|MAP3K3","MAP3K3"
"gene-RAC2|RAC2","RAC2"
"gene-GRAP|GRAP","GRAP"
"gene-EFL1|EFL1","EFL1"
"gene-MKS1|MKS1","MKS1"
"gene-PGAM5|PGAM5","PGAM5"
"gene-SACS|SACS","SACS"
"gene-GRK3|GRK3","GRK3"
"gene-LOC100224227|LOC100224227","LOC100224227"
"gene-DTNA|DTNA","DTNA"
"gene-ZNF512|ZNF512","ZNF512"
"gene-LOC105758956|LOC105758956","LOC105758956"
"gene-KIRREL1|KIRREL1","KIRREL1"
"gene-AAMDC|AAMDC","AAMDC"
"gene-MTRR|MTRR","MTRR"
"gene-SLX9|SLX9","SLX9"
"gene-FCHO1|FCHO1","FCHO1"
"gene-MTA3|MTA3","MTA3"
"gene-NTMT1|NTMT1","NTMT1"
"gene-LOC101233739|LOC101233739","LOC101233739"
"gene-IL12B|IL12B","IL12B"
"gene-LOC100220754|LOC100220754","LOC100220754"
"gene-COMMD10|COMMD10","COMMD10"
"gene-SLC16A2|SLC16A2","SLC16A2"
"gene-SF3A3|SF3A3","SF3A3"
"gene-NCOA6|NCOA6","NCOA6"
"gene-ITSN2|ITSN2","ITSN2"
"gene-ITSN1|ITSN1","ITSN1"
"gene-ITIH5|ITIH5","ITIH5"
"gene-LOC100222525|LOC100222525","LOC100222525"
