"GeneID","Symbol"
"gene-KNG1|KNG1","KNG1"
"gene-MCM2|MCM2","MCM2"
"gene-LRRC70|LRRC70","LRRC70"
"gene-COPRS|COPRS","COPRS"
"gene-LOC140684412|LOC140684412","LOC140684412"
"gene-MLKL|MLKL","MLKL"
"gene-LOC140681287|LOC140681287","LOC140681287"
"gene-LRRIQ1|LRRIQ1","LRRIQ1"
"gene-IRF8|IRF8","IRF8"
"gene-MAPK13|MAPK13","MAPK13"
"gene-LYPLA1|LYPLA1","LYPLA1"
"gene-ATP1B2|ATP1B2","ATP1B2"
"gene-NR1D1|NR1D1","NR1D1"
"gene-FES|FES","FES"
"gene-MRPL40|MRPL40","MRPL40"
"gene-PTGER3|PTGER3","PTGER3"
"gene-LOC116807760|LOC116807760","LOC116807760"
"gene-LOC121469922|LOC121469922","LOC121469922"
"gene-PRMT7|PRMT7","PRMT7"
"gene-LOC100225817|LOC100225817","LOC100225817"
"gene-LOC100229057|LOC100229057","LOC100229057"
"gene-TAF5|TAF5","TAF5"
"gene-LOC140682080|LOC140682080","LOC140682080"
"gene-IL1R2|IL1R2","IL1R2"
"gene-LOC115496092|LOC115496092","LOC115496092"
"gene-MLNR|MLNR","MLNR"
"gene-AGBL5|AGBL5","AGBL5"
"gene-LOC121468456|LOC121468456","LOC121468456"
"gene-SLC25A42|SLC25A42","SLC25A42"
"gene-LOC115490676|LOC115490676","LOC115490676"
"gene-PAQR7|PAQR7","PAQR7"
"gene-LOC100220807|LOC100220807","LOC100220807"
"gene-SUCNR1|SUCNR1","SUCNR1"
"gene-RAB9B|RAB9B","RAB9B"
"gene-LOC115498499|LOC115498499","LOC115498499"
"gene-LOC115492167|LOC115492167","LOC115492167"
"gene-OTOGL|OTOGL","OTOGL"
"gene-RHOD|RHOD","RHOD"
"gene-HINFP|HINFP","HINFP"
"gene-ALKBH1|ALKBH1","ALKBH1"
"gene-NR4A2|NR4A2","NR4A2"
"gene-AMZ1|AMZ1","AMZ1"
